
2025/03/23 (12:00:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/23 (12:00:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (21:52:06) | ===> btop++ v.1.4.0
2025/03/25 (21:52:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (21:52:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (21:52:12) | WARNING: Failed to join _runner thread on exit!

2025/03/27 (08:24:20) | ===> btop++ v.1.4.0
2025/03/27 (08:24:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/27 (08:24:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (08:31:39) | ===> btop++ v.1.4.0
2025/03/28 (08:31:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (08:31:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (19:19:18) | ===> btop++ v.1.4.0
2025/03/29 (19:19:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/29 (19:19:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (09:49:41) | ===> btop++ v.1.4.0
2025/03/30 (09:49:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/30 (09:49:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (10:10:21) | ===> btop++ v.1.4.0
2025/04/03 (10:10:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/03 (10:10:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (18:54:58) | ===> btop++ v.1.4.0
2025/04/04 (18:54:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/04 (18:54:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (00:33:14) | ===> btop++ v.1.4.0
2025/04/05 (00:33:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/05 (00:33:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (02:25:30) | ===> btop++ v.1.4.0
2025/04/06 (02:25:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/06 (02:25:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (02:33:29) | ===> btop++ v.1.4.0
2025/04/06 (02:33:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/06 (02:33:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (15:23:30) | ===> btop++ v.1.4.0
